;Name;leaning;type;url;X;X.1;domain
26;Best Daily News;extreme right;questionable;bestdailynews.info;Extreme Right;questionable;bestdailynews
27;Biologos Foundation;NA;questionable;biologos.org;;conspiracy-pseudoscience;biologos
28;Breaking911;NA;questionable;breaking911.com;NA;questionable;breaking911
29;Breaking News House;extreme right;questionable;breakingnewshouse.com;Extreme Right;questionable;breakingnewshouse
30;BrightSide;NA;questionable;brightside.me;;conspiracy-pseudoscience;brightside
31;Caldron Pool;extreme right;questionable;caldronpool.com;Extreme Right;questionable;caldronpool
32;Cap News;NA;questionable;cap-news.com;NA;questionable;cap-news
33;Climate Change Dispatch;NA;questionable;climatechangedispatch.com;;conspiracy-pseudoscience;climatechangedispatch
34;Conscious Life News;left;questionable;consciouslifenews.com;;conspiracy-pseudoscience;consciouslifenews
35;Conspiracy Daily Update;extreme right;questionable;conspiracydailyupdate.com;;conspiracy-pseudoscience;conspiracydailyupdate
36;Cosmic Intelligence Agency;NA;questionable;cosmicintelligenceagency.com;;conspiracy-pseudoscience;cosmicintelligenceagency
37;Christian Ministries International;NA;questionable;creation.com;;conspiracy-pseudoscience;creation
38;CreationWiki;NA;questionable;creationwiki.org;;conspiracy-pseudoscience;creationwiki
39;CS Globe;NA;questionable;csglobe.com;;conspiracy-pseudoscience;csglobe
40;Curious Mind Magazine;NA;questionable;curiousmindmagazine.com;;conspiracy-pseudoscience;curiousmindmagazine
41;Daily Buzz Live;NA;questionable;dailybuzzlive.com;NA;questionable;dailybuzzlive
42;DailyHealthPost;NA;questionable;dailyhealthpost.com;;conspiracy-pseudoscience;dailyhealthpost
43;Daily Occupation;NA;questionable;dailyoccupation.com;;conspiracy-pseudoscience;dailyoccupation
44;Deplorable Kel;extreme right;questionable;deplorablekel.com;Extreme Right;questionable;deplorablekel
45;Disobedient Media;extreme right;questionable;disobedientmedia.com;;conspiracy-pseudoscience;disobedientmedia
46;Dr. Axe;NA;questionable;draxe.com;;conspiracy-pseudoscience;draxe
47;Eagle PAC;Right;reliable;eagleactionreport.com;Right;;eagleactionreport
48;Earthpulse Press;NA;questionable;earthpulse.com;;conspiracy-pseudoscience;earthpulse
49;Educate Yourself;NA;questionable;educate-yourself.org;;conspiracy-pseudoscience;educate-yourself
50;Educate Inspire Change;NA;questionable;educateinspirechange.org;;conspiracy-pseudoscience;educateinspirechange
51;Eluxe Magazine;NA;questionable;eluxemagazine.com;;conspiracy-pseudoscience;eluxemagazine
52;Newsner;NA;questionable;en.newsner.com;NA;questionable;newsner
53;End the Fed;Right;questionable;endthefed.org;Right;questionable;endthefed
54;End Time Headlines;NA;questionable;endtimeheadlines.org;;conspiracy-pseudoscience;endtimeheadlines
55;Escape all these Things;NA;questionable;escapeallthesethings.com;;conspiracy-pseudoscience;escapeallthesethings
56;Everytown for Gun Safety;left;questionable;everytown.org/;Left;questionable;everytown
57;Explain Life;extreme right;questionable;explainlife.com;Extreme Right;questionable;explainlife
58;Family Survival Headlines;NA;questionable;familysurvivalheadlines.com;;conspiracy-pseudoscience;familysurvivalheadlines
59;Fash the Nation;extreme right;questionable;fashthenation.com;Extreme Right;questionable;fashthenation
60;Fellowship of the Minds;extreme right;questionable;fellowshipoftheminds.com;;conspiracy-pseudoscience;fellowshipoftheminds
61;Food Babe;NA;questionable;foodbabe.com;;conspiracy-pseudoscience;foodbabe
62;Forever Conscious;NA;questionable;foreverconscious.com;;conspiracy-pseudoscience;foreverconscious
63;For the Right News;extreme right;questionable;fortherightnews.com;Extreme Right;questionable;fortherightnews
64;Freedomain Radio;Right;questionable;freedomainradio.com;;conspiracy-pseudoscience;freedomainradio
65;Friends of Science;NA;questionable;friendsofscience.org;;conspiracy-pseudoscience;friendsofscience
66;Covert Geopolitics;NA;questionable;geopolitics.co;;conspiracy-pseudoscience;geopolitics
67;Get Holistic Health;NA;questionable;getholistichealth.com;;conspiracy-pseudoscience;getholistichealth
68;GMWatch;NA;questionable;gmwatch.org;;conspiracy-pseudoscience;gmwatch
69;Government Slaves;NA;questionable;govtslaves.com;;conspiracy-pseudoscience;govtslaves
70;Grain of Truth;extreme right;questionable;grainoftruth.ca;Extreme Right;questionable;grainoftruth
71;Great American Daily;extreme right;questionable;greatamericandaily.com;Extreme Right;questionable;greatamericandaily
72;Gulag Bound;extreme right;questionable;gulagbound.com;;conspiracy-pseudoscience;gulagbound
73;Head Topics;Left-Center;questionable;headtopics.com;Left-Center;questionable;headtopics
74;Healing Oracle;NA;questionable;healingoracle.ch;;conspiracy-pseudoscience;healingoracle
75;Health Impact News;NA;questionable;healthimpactnews.com;;conspiracy-pseudoscience;healthimpactnews
76;Healthy Food House;NA;questionable;healthyfoodhouse.com;;conspiracy-pseudoscience;healthyfoodhouse
77;Hello Christian;NA;questionable;hellochristian.com;;conspiracy-pseudoscience;hellochristian
78;Higher Perspective;NA;questionable;higherperspectives.com;;conspiracy-pseudoscience;higherperspectives
79;Health Sciences Institute;;questionable;hsionline.com;;conspiracy-pseudoscience;hsionline
80;WorldPolitics;extreme right;questionable;http://24wpn.com/;NA;NA;24wpn
81;ABC11 Eyewitness News;Left-Center;reliable;http://abc11.com/;Left-Center;;abc11
82;ABC News;Left-Center;reliable;http://abcnews.go.com/;Left-Center;;go
83;Above the Law;Left-Center;reliable;http://abovethelaw.com/;Left-Center;;abovethelaw
84;Act.TV;left;reliable;http://act.tv;Left;;act
85;Action News;NA;questionable;http://actionnews3.com;NA;NA;actionnews3
86;Affinity Magazine;Left-Center;reliable;http://affinitymagazine.us/;Left-Center;;affinitymagazine
87;African Arguments;Left-Center;reliable;http://africanarguments.org/;Left-Center;;africanarguments
88;Amandla;left;reliable;http://aidc.org.za/amandla-media/;Left;;aidc
89;All News Pipeline;extreme right;questionable;http://allnewspipeline.com/;extreme right;questionable;allnewspipeline
90;The American Independent Institute;left;reliable;http://americanindependent.com/;Left;;americanindependent
91;American News X;left;reliable;http://americannewsx.com/;Left;;americannewsx
92;New York Amsterdam News;left;reliable;http://amsterdamnews.com;Left;;amsterdamnews
93;Anti-War;Right-Center;reliable;http://antiwar.com/;Right-Center;;antiwar
94;Atlanta Black Star;Left-Center;reliable;http://atlantablackstar.com/;Left-Center;;atlantablackstar
95;The Auburn Citizen;least;reliable;http://auburnpub.com/;least;;auburnpub
96;American Web Media (AWM);Right;questionable;http://awm.com/;Right;;awm
97;Axiom News Network;Right;reliable;http://axiomnewsnetwork.com;Right;;axiomnewsnetwork
98;Arizona Daily Sun;Left-Center;reliable;http://azdailysun.com;Left-Center;;azdailysun
99;Bangor Daily News;Left-Center;reliable;http://bangordailynews.com;Left-Center;;bangordailynews
100;Banned Information;extreme right;questionable;http://bannedinformation.com;extreme right;questionable;bannedinformation
101;BB4SP;extreme right;questionable;http://bb4sp.com/;extreme right;questionable;bb4sp
102;Big Government News;Right;questionable;http://biggovernment.news/index.html;Right;;biggovernment
103;Big League Politics;extreme right;questionable;http://bigleaguepolitics.com/;Right;;bigleaguepolitics
104;Billings Gazette;Right-Center;reliable;http://billingsgazette.com;Right-Center;;billingsgazette
105;BillMoyers.com;Left-Center;reliable;http://billmoyers.com/;Left-Center;;billmoyers
106;Bismarck Tribune;least;reliable;http://bismarcktribune.com;least;;bismarcktribune
107;Black Agenda Report;left;reliable;http://blackagendareport.com/;Left;;blackagendareport
108;Black Lives Matter;left;reliable;http://blacklivesmatter.com/;Left;;blacklivesmatter
109;Black Pigeon Speaks;extreme right;questionable;http://blackpigeonspeaks.com/;extreme right;questionable;blackpigeonspeaks
110;Blue Lives Matter;Right;reliable;http://bluelivesmatter.blue/;Right;;bluelivesmatter
111;BNO News;least;reliable;http://bnonews.com/;least;;bnonews
112;Boston Review;left;reliable;http://bostonreview.net;Left;;bostonreview
113;Breaking Defense;Right-Center;reliable;http://breakingdefense.com/;Right-Center;;breakingdefense
114;BrexitCentral;Right;reliable;http://brexitcentral.com;Right;;brexitcentral
115;Bust Magazine;left;reliable;http://bust.com/;Left;;bust
116;Calgary Herald;Right-Center;reliable;http://calgaryherald.com/;Left-Center;;calgaryherald
117;Campaign for Liberty;Right-Center;reliable;http://campaignforliberty.org/;Right-Center;;campaignforliberty
118;Canada Free Press;extreme right;questionable;http://canadafreepress.com/;extreme right;questionable;canadafreepress
119;The California Republican;Right;reliable;http://carepublican.com;Right;;carepublican
120;Carolina Public Press;Left-Center;reliable;http://carolinapublicpress.org/;Left-Center;;carolinapublicpress
121;Cerno (Cernovich.com);extreme right;questionable;http://cernovich.com;extreme right;questionable;cernovich
122;Center for the National Interest;Right-Center;reliable;http://cftni.org/;Right-Center;;cftni
123;Chicago Reporter;left;reliable;http://chicagoreporter.com/;Left-Center;;chicagoreporter
124;Christian Action Network;extreme right;questionable;http://christianaction.org/;extreme right;questionable;christianaction
125;The Augusta Chronicle;Right-Center;reliable;http://chronicle.augusta.com/;Right-Center;;augusta
126;Center for Immigration Studies;extreme right;questionable;http://cis.org/;NA;NA;cis
127;Citizens United;Right;reliable;http://citizensunited.org/index.aspx;Right;;citizensunited
128;City and State New York;Left-Center;reliable;http://cityandstateny.com/;least;;cityandstateny
129;Clash Daily;extreme right;questionable;http://clashdaily.com/;extreme right;questionable;clashdaily
130;Council of Conservative Citizens;extreme right;questionable;http://conservative-headlines.com/;NA;NA;conservative-headlines
131;Conservative Ammo;extreme right;questionable;http://conservativeammo.com/;NA;NA;conservativeammo
132;Conservative Byte;extreme right;questionable;http://conservativebyte.com;extreme right;questionable;conservativebyte
133;Conservative Fighters;extreme right;questionable;http://conservativefighters.com/;extreme right;questionable;conservativefighters
134;Conservative Firing Line;extreme right;questionable;http://conservativefiringline.com/;extreme right;questionable;conservativefiringline
135;Conservative Matrix;Right;questionable;http://conservativematrix.com/;NA;NA;conservativematrix
136;Cowger Nation;Right;reliable;http://cowgernation.com/;Right;;cowgernation
137;Crooks and Liars;left;reliable;http://crooksandliars.com/;Left;;crooksandliars
138;Citizens for Tax Justice;Left-Center;reliable;http://ctj.org/;Left-Center;;ctj
139;The Sentinel (Pennsylvania);least;reliable;http://cumberlink.com;least;;cumberlink
140;Daily Caller;Right;reliable;http://dailycaller.com/;Right;;dailycaller
141;Daily Headlines;extreme right;questionable;http://dailyheadlines.net/;extreme right;questionable;dailyheadlines
142;Daily Signal;Right;reliable;http://dailysignal.com/;Right;;dailysignal
143;Daily Surge;Right;reliable;http://dailysurge.com/;Right;;dailysurge
144;DC Whispers;Right;reliable;http://dcwhispers.com/;Right;;dcwhispers
145;Deadline Hollywood;Left-Center;reliable;http://deadline.com/;Left-Center;;deadline
146;Debate Post;Right;reliable;http://debatepost.com/;Right;;debatepost
147;Deep Left Field;extreme left;questionable;http://deepleftfield.info/;Left;;deepleftfield
148;Defiant America;extreme right;questionable;http://defiantamerica.com/;extreme right;questionable;defiantamerica
149;Albany Democrat-Herald;least;reliable;http://democratherald.com;least;;democratherald
150;Digg;Left-Center;reliable;http://digg.com/;Left-Center;;digg
151;Eagle Rising;extreme right;questionable;http://eaglerising.com/;extreme right;questionable;eaglerising
152;Earth Institute;Left-Center;reliable;http://earth.columbia.edu/sections/view/9;least;;columbia
153;The Economic Times;Right-Center;reliable;http://economictimes.indiatimes.com/;Left-Center;;indiatimes
154;Edmonton Journal;Right-Center;reliable;http://edmontonjournal.com/;Left-Center;;edmontonjournal
155;Elisabeth Parker;left;reliable;http://elisabethparker.com/;Left;;elisabethparker
156;Elite Daily;left;reliable;http://elitedaily.com/;Left;;elitedaily
157;El Pais;Left-Center;reliable;http://elpais.com/elpais/inenglish.html;Left-Center;;elpais
158;En-volve;extreme right;questionable;http://en-volve.com/;NA;NA;en-volve
159;Bbarta24;least;reliable;http://en.bbarta24.net/;least;;bbarta24
160;Metapedia;extreme right;questionable;http://en.metapedia.org/wiki/Main_Page;extreme right;questionable;metapedia
161;Proto Thema;Right;questionable;http://en.protothema.gr/;NA;NA;protothema
162;Vatican Radio;NA;questionable;http://en.radiovaticana.va/;Right;questionable;radiovaticana
163;Ahram Online;Right-Center;reliable;http://english.ahram.org.eg/;least;;ahram
164;Ethics & Religious Liberty Commission;Right;reliable;http://erlc.com/;Right;;erlc
165;Everyday Feminism;left;reliable;http://everydayfeminism.com/;Left;;everydayfeminism
166;Evonomics;left;reliable;http://evonomics.com/;Left;;evonomics
167;Earth We are One (EWAO);NA;questionable;http://ewao.com;NA;NA;ewao
168;Fact Checking Turkey;Right;questionable;http://factcheckingturkey.com/;NA;NA;factcheckingturkey
169;Fact/Myth;Left-Center;reliable;http://factmyth.com/;Left-Center;;factmyth
170;Fake Hate Crimes;Right;reliable;http://fakehatecrimes.org;Right;;fakehatecrimes
171;FBNewsCycle;extreme right;questionable;http://fbnewscycle.com/;extreme right;questionable;fbnewscycle
172;Federalist Press;Right;reliable;http://federalistpress.com/;Right;;federalistpress
173;Feministing;left;reliable;http://feministing.com/;Left;;feministing
174;Life Decisions International;Right;reliable;http://fightpp.org;Right;;fightpp
175;Filming Cops;Left;questionable;http://filmingcops.com/;Left;;filmingcops
176;First in Freedom Daily;Right;reliable;http://firstinfreedomdaily.com/;Right;;firstinfreedomdaily
177;Foreign Policy News;left;reliable;http://foreignpolicynews.org;Left;;foreignpolicynews
178;Fortune Magazine;Right-Center;reliable;http://fortune.com/;Right-Center;;fortune
179;The Forward;Left-Center;reliable;http://forward.com/;Left-Center;;forward
180;Foreign Policy in Focus;Left-Center;reliable;http://fpif.org/;Left-Center;;fpif
181;Franklin Center for Government and Public Integrity;Right-Center;reliable;http://franklincenterhq.org/;Right-Center;;franklincenterhq
182;Freakonomics;Left-Center;reliable;http://freakonomics.com/;Left-Center;;freakonomics
183;Free West Media;Right;reliable;http://freewestmedia.com/;Right;;freewestmedia
184;Free Rein News;left;reliable;http://frnewsreport.com;Left;;frnewsreport
185;Fusion;Left-Center;reliable;http://fusion.kinja.com/;Left-Center;;kinja
186;Colorado Springs Gazette;Right-Center;reliable;http://gazette.com/;Right-Center;;gazette
187;Geopolitics Alert;left;reliable;http://geopoliticsalert.com;Left-Center;;geopoliticsalert
188;Gizmodo;left;reliable;http://gizmodo.com/;Left;;gizmodo
189;Global Info Today;extreme right;questionable;http://globalinfotoday.com/;extreme right;questionable;globalinfotoday
190;Global Risk Insights;Left-Center;reliable;http://globalriskinsights.com;Left-Center;;globalriskinsights
191;Globe Gazette (Iowa);least;reliable;http://globegazette.com;least;;globegazette
192;Grist;Left-Center;reliable;http://grist.org/;Left-Center;;grist
193;Group of Thirty;least;reliable;http://group30.org/;Right-Center;;group30
194;Guardian Liberty Voice;left;reliable;http://guardianlv.com/;Left;;guardianlv
195;Gulf News;Right-Center;questionable;http://gulfnews.com/;Right-Center;;gulfnews
196;Harpers;Left-Center;reliable;http://harpers.org/;Left-Center;;harpers
197;Harvard Political Review;Left-Center;reliable;http://harvardpolitics.com/;least;;harvardpolitics
198;Healing Food Reference;extreme right;questionable;http://healingfoodreference.com/;NA;NA;healingfoodreference
199;Independent Record (Montana);least;reliable;http://helenair.com;least;;helenair
200;Herbreference.com;Right;questionable;http://herbreference.com/;NA;NA;herbreference
201;Highline;Left-Center;reliable;http://highline.huffingtonpost.com;Left-Center;;huffingtonpost
202;History News Network;Left-Center;reliable;http://historynewsnetwork.org/;Left-Center;;historynewsnetwork
203;Honest Reporting;Right-Center;reliable;http://honestreporting.com/;Right-Center;;honestreporting
204;Wisconsin State Journal;least;reliable;http://host.madison.com/wsj/;least;;madison
205;Hot Air;Right;reliable;http://hotair.com/;Right;;hotair
206;Human Events;Right;reliable;http://humanevents.com/;Right;;humanevents
207;Human Progress;Right-Center;reliable;http://humanprogress.org/;Right-Center;;humanprogress
208;I Bleed Red White and Blue;Right;reliable;http://ibleedredwhiteblue.com/;Right;;ibleedredwhiteblue
209;Institute for Historical Review (IHR);extreme right;questionable;http://ihr.org/;extreme right;questionable;ihr
210;Hypocrite;extreme right;questionable;http://ihypocrite.net;extreme right;questionable;ihypocrite
211;IMOwired;extreme right;questionable;http://imowired.com/;extreme right;questionable;imowired
212;The Indian Express;Left-Center;reliable;http://indianexpress.com/;least;;indianexpress
213;India Today;Right-Center;reliable;http://indiatoday.intoday.in/;least;;intoday
214;InfoRos.ru;Right;questionable;http://inforos.ru/;NA;NA;inforos
215;In These Times;left;reliable;http://inthesetimes.com/;Left;;inthesetimes
216;iPatriot;Right;reliable;http://ipatriot.com;Right;;ipatriot
217;Florida Times Union;least;reliable;http://jacksonville.com/;Right-Center;;jacksonville
218;Jewish Breaking News;Right-Center;reliable;http://jewishbreakingnews.com;Right-Center;;jewishbreakingnews
219;Jezebel;left;reliable;http://jezebel.com/;Left;;jezebel
220;Joe for America;extreme right;questionable;http://joeforamerica.com;extreme right;questionable;joeforamerica
221;Lincoln Journal Star;least;reliable;http://journalstar.com/;least;;journalstar
222;Justice Denied;least;reliable;http://justicedenied.org;least;;justicedenied
223;Kaiser Family Foundation;least;reliable;http://kff.org/;least;;kff
224;News Channel 4 (KFOR.com);least;reliable;http://kfor.com/;Left-Center;;kfor
225;Know Your Meme;least;reliable;http://knowyourmeme.com/;least;;knowyourmeme
226;KUOW NPR;Left-Center;reliable;http://kuow.org/;Left-Center;;kuow
227;KUTV Salt Lake City;Right-Center;reliable;http://kutv.com/;Right-Center;;kutv
228;Lady Liberty News;extreme right;questionable;http://ladylibertysnews.com/;extreme right;questionable;ladylibertysnews
229;Left Action;extreme left;questionable;http://leftaction.com/;NA;NA;leftaction
230;Left Exposed;extreme right;questionable;http://leftexposed.org/;extreme right;questionable;leftexposed
231;Left Over Rights;left;reliable;http://leftoverrights.com/;Left;;leftoverrights
232;Lethbridge Herald;Left-Center;reliable;http://lethbridgeherald.com/;Left-Center;;lethbridgeherald
233;Lexington Institute;Right-Center;reliable;http://lexingtoninstitute.org/;Right-Center;;lexingtoninstitute
234;Libcom.org;left;reliable;http://libcom.org;Left;;libcom
235;Liberal America;left;reliable;http://liberalamerica.life;Left;;liberalamerica
236;Liberty Alliance;extreme right;questionable;http://libertyalliance.com/;NA;NA;libertyalliance
237;Liberty Hangout;Right;reliable;http://libertyhangout.org/;Right;;libertyhangout
238;ListVerse;Right-Center;reliable;http://listverse.com/;least;;listverse
239;Lompoc Record;least;reliable;http://lompocrecord.com/;least;;lompocrecord
240;London Web News;extreme left;questionable;http://londonwebnews.com/;extreme left;questionable;londonwebnews
241;Mad World News;extreme right;questionable;http://madworldnews.com/;extreme right;questionable;madworldnews
242;Zox (Maga2020.us);NA;questionable;http://maga2020.us;NA;NA;maga2020
243;Times-News (Idaho);least;reliable;http://magicvalley.com/;least;;magicvalley
244;Maine Beacon;Left-Center;reliable;http://mainebeacon.com/;Left-Center;;mainebeacon
245;Maplight;Left-Center;reliable;http://maplight.org/;least;;maplight
246;Mashable;left;reliable;http://mashable.com/;Left;;mashable
247;The Meme Policeman;least;reliable;http://memepoliceman.com/;least;;memepoliceman
248;Mental Floss;least;reliable;http://mentalfloss.com/;least;;mentalfloss
249;Merion West;least;reliable;http://merionwest.com/;least;;merionwest
250;Mexico Daily News;Left-Center;reliable;http://mexiconewsdaily.com/;Left-Center;;mexiconewsdaily
251;Missoulian;least;reliable;http://missoulian.com/;least;;missoulian
252;Modern Liberals;left;reliable;http://modernliberals.com/;Left;;modernliberals
253;Mondoweiss;left;reliable;http://mondoweiss.net/;Left;;mondoweiss
254;Monthly Review;Left-Center;reliable;http://monthlyreview.org/;Left-Center;;monthlyreview
255;Montreal Gazette;Right-Center;reliable;http://montrealgazette.com/;Left-Center;;montrealgazette
256;Montana Standard;least;reliable;http://mtstandard.com;least;;mtstandard
257;MyNorthwest;Right-Center;reliable;http://mynorthwest.com;Right-Center;;mynorthwest
258;Napa Valley Register;least;reliable;http://napavalleyregister.com;least;;napavalleyregister
259;The Nation Pakistan;Right-Center;reliable;http://nation.com.pk/;Right-Center;;nation
260;National Interest;Right-Center;reliable;http://nationalinterest.org/;Right-Center;;nationalinterest
261;National Monitor;Left-Center;reliable;http://natmonitor.com/;Left-Center;;natmonitor
262;New Boston Post;Right;reliable;http://newbostonpost.com;Right;;newbostonpost
263;New Politics Magazine;left;reliable;http://newpol.org/;Left;;newpol
264;ERR News (Estonia Public Broadcasting);least;reliable;http://news.err.ee;least;;err
265;Harvard Gazette;least;reliable;http://news.harvard.edu/gazette/;least;;harvard
266;Thomson Reuters Foundation;Left-Center;reliable;http://news.trust.org/;Left-Center;;trust
267;NewsAmmo;extreme right;questionable;http://newsammo.com/;extreme right;questionable;newsammo
268;News Blaze;extreme right;questionable;http://newsblaze.com/;extreme right;questionable;newsblaze
269;News Corpse;left;reliable;http://newscorpse.com/;Left;;newscorpse
270;News Heist;Right-Center;reliable;http://newsheist.com/;Right-Center;;newsheist
271;The Hindu;Left-Center;reliable;http://newsite.thehindu.com/;Left-Center;;thehindu
272;News Rescue;Right-Center;reliable;http://newsrescue.com/;Right-Center;;newsrescue
273;Newsservis.com;extreme right;questionable;http://newsservis.com/;Extreme Right;questionable;newsservis
274;Now8News;NA;questionable;http://now8news.com/;NA;NA;now8news
275;NutrientReference.com;extreme right;questionable;http://nutrientreference.com/;NA;NA;nutrientreference
276;New York Magazine;left;reliable;http://nymag.com/;Left;;nymag
277;New York Post;Right-Center;reliable;http://nypost.com/;Right-Center;;nypost
278;New York Observer;Right-Center;reliable;http://observer.com/;Right;;observer
279;Oil Price;least;reliable;http://oilprice.com/;Right-Center;;oilprice
280;The Other 98%;extreme left;questionable;http://other98.com/;extreme left;questionable;other98
281;Ottawa Citizen;Right-Center;reliable;http://ottawacitizen.com/;Right-Center;;ottawacitizen
282;Our Health Guides;NA;questionable;http://ourhealthguides.com/;NA;NA;ourhealthguides
283;The Outlook (Monmouth University);least;reliable;http://outlook.monmouth.edu/;least;;monmouth
284;Geller Report;extreme right;questionable;http://pamelageller.com/;extreme right;questionable;pamelageller
285;Patriot Crier;extreme right;questionable;http://patriotcrier.com;NA;NA;patriotcrier
286;Patriotic Viral News;extreme right;questionable;http://patrioticviralnews.com/;extreme right;questionable;patrioticviralnews
287;Patriot News Daily;Right;reliable;http://patriotnewsdaily.com/;Right;;patriotnewsdaily
288;PatriotRetort.com;Right;reliable;http://patriotretort.com;Right;;patriotretort
289;People Magazine;left;reliable;http://people.com/politics/;Left;;people
290;PM Nightly News;Right;questionable;http://pmnightlynews.com/;extreme right;questionable;pmnightlynews
291;Polipace;extreme left;questionable;http://polipace.com/;extreme left;questionable;polipace
292;Political Critique;Left-Center;reliable;http://politicalcritique.org/;Left-Center;;politicalcritique
293;Political Dig;left;reliable;http://politicaldig.com/;Left;;politicaldig
294;Politichicks;Right;reliable;http://politichicks.com/;Right;;politichicks
295;Politics That Work;Left-Center;reliable;http://politicsthatwork.com/;Left-Center;;politicsthatwork
296;Politifeed;Right;reliable;http://politifeed.net;Right;;politifeed
297;Pollution.News;extreme right;questionable;http://pollution.news/;NA;NA;pollution
298;Center for Popular Democracy;Left-Center;reliable;http://populardemocracy.org/;Left-Center;;populardemocracy
299;The Post Star;least;reliable;http://poststar.com;least;;poststar
300;Powdered Wig Society;extreme right;questionable;http://powderedwigsociety.com/;extreme right;questionable;powderedwigsociety
301;PR Newswire;least;reliable;http://prnewswire.mediaroom.com/;least;;mediaroom
302;Prntly;extreme right;questionable;http://prntly.com/;extreme right;questionable;prntly
303;International Organization for the Family (IOF);extreme right;questionable;http://profam.org;extreme right;questionable;profam
304;Progressive Army;left;reliable;http://progressivearmy.com;Left;;progressivearmy
305;Project Censored;left;reliable;http://projectcensored.org/;Left;;projectcensored
306;Project Veritas;Right;questionable;http://projectveritas.com/;Right;;projectveritas
307;The American Prospect;left;reliable;http://prospect.org/;Left;;prospect
308;The Pulse;Left-Center;reliable;http://pulsegulfcoast.com/;Left-Center;;pulsegulfcoast
309;Quad City Times;least;reliable;http://qctimes.com/;least;;qctimes
310;Quartz;Left-Center;reliable;http://qz.com/;Left-Center;;qz
311;Rabble.ca;left;reliable;http://rabble.ca/;Left;;rabble
312;Rapid City Journal;least;reliable;http://rapidcityjournal.com;least;;rapidcityjournal
313;Reader Supported News (RSN);left;reliable;http://readersupportednews.org;Left;;readersupportednews
314;Reason;Right-Center;reliable;http://reason.com/;Right-Center;;reason
315;Red Alert Politics;Right;reliable;http://redalertpolitics.com/;Right;;redalertpolitics
316;Red State Watcher;extreme right;questionable;http://redstatewatcher.com/;extreme right;questionable;redstatewatcher
317;Religion News Service;Left-Center;reliable;http://religionnews.com;Left-Center;;religionnews
318;Reporters Lab;least;reliable;http://reporterslab.org/;least;;reporterslab
319;Republicans Suck;left;reliable;http://republicanssucks.org;Left;;republicanssucks
320;Center for Research of Radicalism and National Security;extreme right;questionable;http://researchantisemitism.ca;NA;NA;researchantisemitism
321;Revcom.us;left;reliable;http://revcom.us/;Left;;revcom
322;Right Smarts;extreme right;questionable;http://rightsmarts.com/;extreme right;questionable;rightsmarts
323;Right Web;Left-Center;reliable;http://rightweb.irc-online.org;Left-Center;;irc-online
324;Roosevelt Institute;Left-Center;reliable;http://rooseveltinstitute.org/;Left-Center;;rooseveltinstitute
325;Rudaw;Left-Center;questionable;http://rudaw.net/english;Left-Center;;rudaw
326;Russia Insider;extreme right;questionable;http://russia-insider.com/en;Right-Center;;russia-insider
327;Santa Maria Times;least;reliable;http://santamariatimes.com;least;;santamariatimes
328;Savannah Morning News;Right-Center;reliable;http://savannahnow.com/;Right-Center;;savannahnow
329;Sinclair Broadcast Group;Right;reliable;http://sbgi.net/;Right;;sbgi
